Config	Applicaiton	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
cache_dram82_remap0	lu.cont	0.0325006	0.0	11983059.0	0.0	0.9775	1.0	265930478.0	265930478
cache_dram82_remap0	lu.ncont	0.0319599	0.0	21017573.0	0.0	0.79	0.81	333450357.0	333450357
cache_dram82_remap0	radix	0.0543537	0.0	1376665.0	2116.0	0.4	0.4	40037866.0	40037866
cache_dram82_remap0	raytrace	0.0463324	0.0	14475941.0	4493.0	0.57	0.58	328359619.0	328359619
cache_dram82_remap0	water.nsq	0.0784041	0.0	4333267.0	0.0	0.9475	0.98	495323814.0	495323814
cache_dram82_remap0	water.sp	0.03855	0.0	2876768.0	0.0	1.065	1.15	184356996.0	184356996
cache_dram82_remap1g	barnes	0.0359706	0.0	7144535.0	2108.0	0.47	0.48	720888645.0	720888645
cache_dram82_remap1g	cholesky	0.0335416	0.0	10461480.0	2308.0	1.175	1.24	67406658.0	67406658
cache_dram82_remap1g	fft	0.0339134	0.0	37350197.0	3636.0	1.08	1.08	199909076.0	199909076
cache_dram82_remap1g	fmm	0.109147	0.0	10374279.0	2095.0	1.3	1.31	361274363.0	361274363
cache_dram82_remap1g	lu.cont	0.0325231	0.0	11987531.0	0.0	0.9725	1.0	266749688.0	266749688
cache_dram82_remap1g	lu.ncont	0.0319806	0.0	20981926.0	0.0	0.7825	0.8	334258866.0	334258866
cache_dram82_remap1g	radix	0.0543096	0.0	1375346.0	2116.0	0.4	0.4	40118099.0	40118099
cache_dram82_remap1g	raytrace	0.0463581	0.0	14592147.0	4491.0	0.57	0.58	329739406.0	329739406
cache_dram82_remap1g	water.nsq	0.0771051	0.0	4289195.0	0.0	0.9475	0.98	496085114.0	496085114
cache_dram82_remap1g	water.sp	0.0400679	0.0	2887457.0	0.0	1.05	1.14	186676496.0	186676496
cache_dram82_remap1l	barnes	0.0361897	0.0	7147325.0	2108.0	0.4675	0.47	727854945.0	727854945
cache_dram82_remap1l	cholesky	0.0333102	0.0	10464974.0	2304.0	1.155	1.22	68614670.0	68614670
cache_dram82_remap1l	fft	0.0339354	0.0	37352250.0	3636.0	1.08	1.08	200161955.0	200161955
cache_dram82_remap1l	fmm	0.109527	0.0	10369028.0	0.0	1.3	1.31	361529663.0	361529663
cache_dram82_remap1l	lu.cont	0.0325162	0.0	11988723.0	0.0	0.97	0.99	268513362.0	268513362
cache_dram82_remap1l	lu.ncont	0.0323593	0.0	21034098.0	0.0	0.7825	0.8	334832810.0	334832810
cache_dram82_remap1l	radix	0.0543643	0.0	1376295.0	2116.0	0.4	0.4	40046919.0	40046919
cache_dram82_remap1l	raytrace	0.0467866	0.0	14467562.0	4495.0	0.57	0.58	327588319.0	327588319
cache_dram82_remap1l	water.nsq	0.0807499	0.0	4281249.0	0.0	0.9475	0.98	496877145.0	496877145
cache_dram82_remap1l	water.sp	0.0383841	0.0	2882606.0	0.0	1.045	1.13	187143128.0	187143128
cache_dram83_no-remap	barnes	0.0356823	3641.0	7141932.0	0.0	0.5175	0.52	658994161.0	658994161
cache_dram83_no-remap	cholesky	0.0332624	3406.0	10462607.0	0.0	1.3	1.39	61490227.0	61490227
cache_dram83_no-remap	fft	0.0338234	6903.0	37344019.0	0.0	1.26	1.26	170571953.0	170571953
cache_dram83_no-remap	fmm	0.109305	12234.0	10357186.0	0.0	1.4	1.41	335520464.0	335520464
cache_dram83_no-remap	lu.cont	0.0325268	0.0	11977775.0	0.0	1.0925	1.12	237882499.0	237882499
cache_dram83_no-remap	lu.ncont	0.0322037	706.0	21048774.0	0.0	0.91	0.93	287293066.0	287293066
cache_dram83_no-remap	radix	0.0543762	22.0	1375288.0	0.0	0.4	0.4	40079574.0	40079574
cache_dram83_no-remap	raytrace	0.0467319	713.0	14440752.0	0.0	0.62	0.63	303823558.0	303823558
cache_dram83_no-remap	water.nsq	0.0813155	34.0	4292580.0	0.0	1.01	1.05	465110782.0	465110782
cache_dram83_no-remap	water.sp	0.0384036	14.0	2876336.0	0.0	1.09	1.18	179393296.0	179393296
cache_dram83_remap0	barnes	0.0371839	0.0	7133155.0	12442.0	0.52	0.53	656039628.0	656039628
cache_dram83_remap0	cholesky	0.0337197	0.0	10458561.0	4412.0	1.2725	1.36	62142356.0	62142356
cache_dram83_remap0	fft	0.0346725	0.0	37334639.0	9080.0	1.26	1.26	171358853.0	171358853
cache_dram83_remap0	fmm	0.111479	0.0	10353707.0	86827.0	1.395	1.41	336977403.0	336977403
cache_dram83_remap0	lu.cont	0.0325889	0.0	11984182.0	0.0	1.0875	1.11	238853662.0	238853662
cache_dram83_remap0	lu.ncont	0.0319038	0.0	21029565.0	2116.0	0.92	0.94	285765266.0	285765266
cache_dram83_remap0	radix	0.0543989	0.0	1376571.0	2115.0	0.4	0.4	40067118.0	40067118
cache_dram83_remap0	raytrace	0.0470956	0.0	14455072.0	8591.0	0.61	0.62	306197458.0	306197458
cache_dram83_remap0	water.nsq	0.080615	0.0	4289729.0	4117.0	1.0125	1.05	464070714.0	464070714
cache_dram83_remap0	water.sp	0.0389925	0.0	2878150.0	2048.0	1.1	1.19	178484196.0	178484196
cache_dram83_remap1g	barnes	0.0369515	0.0	7144453.0	8354.0	0.52	0.53	655644128.0	655644128
cache_dram83_remap1g	cholesky	0.0334968	0.0	10458044.0	4400.0	1.2875	1.38	61367527.0	61367527
cache_dram83_remap1g	fft	0.0341336	0.0	37349484.0	6440.0	1.25	1.25	172133153.0	172133153
cache_dram83_remap1g	fmm	0.113316	0.0	10372220.0	80695.0	1.3975	1.41	335999359.0	335999359
cache_dram83_remap1g	lu.cont	0.0325366	0.0	11982305.0	0.0	1.0925	1.12	237988362.0	237988362
cache_dram83_remap1g	lu.ncont	0.0318719	0.0	21000188.0	4228.0	0.92	0.94	285975829.0	285975829
cache_dram83_remap1g	radix	0.0542218	0.0	1376711.0	2116.0	0.4	0.4	40120599.0	40120599
cache_dram83_remap1g	raytrace	0.0480932	0.0	14570134.0	8591.0	0.6	0.61	311094358.0	311094358
cache_dram83_remap1g	water.nsq	0.0770611	0.0	4289086.0	0.0	1.0175	1.05	462731245.0	462731245
cache_dram83_remap1g	water.sp	0.0388102	0.0	2873737.0	2065.0	1.09	1.18	179733196.0	179733196
cache_dram83_remap1l	barnes	0.0375727	0.0	7141310.0	12448.0	0.52	0.53	652764428.0	652764428
cache_dram83_remap1l	cholesky	0.0334848	0.0	10455763.0	4406.0	1.2725	1.36	62146856.0	62146856
cache_dram83_remap1l	fft	0.0345228	0.0	37348458.0	11148.0	1.25	1.25	172910876.0	172910876
cache_dram83_remap1l	fmm	0.112964	0.0	10372883.0	78586.0	1.3975	1.41	336265563.0	336265563
cache_dram83_remap1l	lu.cont	0.0325848	0.0	11985547.0	0.0	1.0875	1.11	238711688.0	238711688
cache_dram83_remap1l	lu.ncont	0.0324355	0.0	21105107.0	6273.0	0.91	0.93	288491929.0	288491929
