Applicaiton	Config	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
lu.cont	cache_cpu104_remap1g	0.0358489	0.0	12070797.0	135418.0	1.82	1.86	142693788.0	142693788
lu.cont	cache_cpu104_remap1l	0.155063	0.0	10664455.0	135313.0	1.7725	1.82	146379662.0	146379662
lu.cont	cache_cpu105_no-remap	0.032547	2515145.0	9467415.0	0.0	1.8425	1.89	140990799.0	140990799
lu.cont	cache_cpu105_remap0	0.254871	0.0	9453481.0	135406.0	1.74	1.78	149119362.0	149119362
lu.cont	cache_cpu105_remap1g	0.0356783	0.0	12075215.0	135417.0	1.83	1.87	142158299.0	142158299
lu.cont	cache_cpu105_remap1l	0.159522	0.0	10625510.0	135332.0	1.78	1.82	145771199.0	145771199
lu.ncont	cache_no-dtm_no-remap	0.0319384	5229660.0	16007229.0	0.0	1.9425	1.99	134909866.0	134909866
lu.ncont	cache_no-dtm_remap0	0.258267	0.0	15526746.0	184021.0	1.8025	1.85	145430029.0	145430029
lu.ncont	cache_no-dtm_remap1g	0.150932	0.0	19332211.0	186134.0	1.8325	1.88	143076286.0	143076286
lu.ncont	cache_no-dtm_remap1l	0.228242	0.0	16830480.0	183806.0	1.81	1.85	144772029.0	144772029
lu.ncont	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	1.5575	1.59	168483029.0	168483029
lu.ncont	cache_cpu101_no-remap	0.0319394	3415561.0	17759713.0	0.0	1.5825	1.62	165663066.0	165663066
lu.ncont	cache_cpu101_remap0	0.207266	0.0	16718738.0	133282.0	1.5175	1.55	172814831.0	172814831
lu.ncont	cache_cpu101_remap1g	0.12729	0.0	19877877.0	131200.0	1.5275	1.56	171673210.0	171673210
lu.ncont	cache_cpu101_remap1l	0.172803	0.0	18160669.0	133157.0	1.5175	1.55	172971086.0	172971086
lu.ncont	cache_cpu102_no-remap	0.0318853	3858443.0	17339772.0	0.0	1.6125	1.65	162423329.0	162423329
lu.ncont	cache_cpu102_remap0	0.213634	0.0	16634834.0	135397.0	1.54	1.58	170273182.0	170273182
lu.ncont	cache_cpu102_remap1g	0.126836	0.0	19691451.0	135431.0	1.5575	1.59	168469429.0	168469429
lu.ncont	cache_cpu102_remap1l	0.183396	0.0	17950429.0	135180.0	1.5475	1.58	169431429.0	169431429
lu.ncont	cache_cpu103_no-remap	0.0318921	3951622.0	17278657.0	0.0	1.6425	1.68	159513882.0	159513882
